reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value,location_name,model_id
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.99,29,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.01,0,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.025,0,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.05,1,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.1,1,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.15,2,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.2,2,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.25,3,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.3,4,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.35,4,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.4,5,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.45,6,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.5,7,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.55,8,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.6,9,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.65,10,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.7,11,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.75,12,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.8,13,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.85,15,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.9,18,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.95,23,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.975,27,Alaska,Ensemble
2026-02-21,02,1,wk inc flu hosp,2026-02-28,quantile,0.99,34,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.01,0,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.025,0,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.05,0,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.1,1,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.15,1,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.2,2,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.25,2,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.3,3,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.35,3,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.4,4,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.45,4,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.5,6,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.55,7,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.6,8,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.65,9,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.7,10,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.75,11,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.8,13,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.85,15,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.9,18,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.95,23,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.975,29,Alaska,Ensemble
2026-02-21,02,2,wk inc flu hosp,2026-03-07,quantile,0.99,39,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.01,0,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.025,0,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.05,0,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.1,0,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.15,1,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.2,1,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.25,2,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.3,2,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.35,3,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.4,4,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.45,4,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.5,6,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.55,7,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.6,8,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.65,9,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.7,10,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.75,11,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.8,14,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.85,16,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.9,19,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.95,25,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.975,31,Alaska,Ensemble
2026-02-21,02,3,wk inc flu hosp,2026-03-14,quantile,0.99,41,Alaska,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.01,197,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.025,226,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.05,250,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.1,279,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.15,301,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.2,319,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.25,337,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.3,353,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.35,369,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.4,383,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.45,396,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.5,412,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.55,426,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.6,440,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.65,454,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.7,471,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.75,489,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.8,511,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.85,538,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.9,573,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.95,629,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.975,692,Arizona,Ensemble
2026-02-21,04,0,wk inc flu hosp,2026-02-21,quantile,0.99,769,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.01,149,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.025,175,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.05,202,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.1,238,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.15,263,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.2,286,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.25,306,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.3,326,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.35,343,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.4,359,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.45,376,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.5,394,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.55,412,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.6,429,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.65,446,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.7,467,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.75,492,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.8,521,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.85,557,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.9,603,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.95,689,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.975,783,Arizona,Ensemble
2026-02-21,04,1,wk inc flu hosp,2026-02-28,quantile,0.99,936,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.01,107,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.025,133,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.05,161,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.1,201,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.15,227,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.2,251,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.25,272,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.3,293,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.35,312,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.4,330,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.45,349,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.5,369,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.55,389,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.6,409,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.65,430,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.7,452,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.75,481,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.8,514,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.85,560,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.9,616,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.95,724,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.975,840,Arizona,Ensemble
2026-02-21,04,2,wk inc flu hosp,2026-03-07,quantile,0.99,1050,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.01,87,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.025,111,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.05,135,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.1,166,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.15,194,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.2,221,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.25,242,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.3,264,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.35,284,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.4,302,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.45,321,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.5,342,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.55,361,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.6,382,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.65,403,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.7,429,Arizona,Ensemble
2026-02-21,04,3,wk inc flu hosp,2026-03-14,quantile,0.75,460,Arizona,Ensemble
