reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value,location_name,model_id
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.35,64,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.4,71,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.45,80,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.5,88,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.55,94,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.6,102,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.65,110,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.7,120,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.75,131,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.8,145,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.85,162,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.9,188,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.95,243,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.975,313,Alabama,Ensemble
2025-11-29,01,3,wk inc flu hosp,2025-12-20,quantile,0.99,457,Alabama,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.01,0,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.025,0,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.05,0,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.1,0,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.15,1,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.2,1,Alaska,Ensemble
2025-11-29,02,0,wk inc flu hosp,2025-11-29,quantile,0.25,1,Alaska,Ensemble
